Date,2YO,3YO,4YO,5YO
2018-10-07,105844.67626186358,78673.34256029199,,51916.76154896159
2018-10-08,,79552.17047051188,61714.23247239023,
2018-10-09,105158.95446273708,,,48625.022839873054
2018-10-10,,77967.69398551971,61325.4529660212,
2018-10-11,102617.41424345752,,,51765.872937381486
2018-10-13,102709.0355264835,76918.25641210435,61514.49885643117,
2018-10-14,,78759.4562786856,61214.76247876168,49569.93545265714
2018-10-15,102607.84095467516,,,51298.93385559987
2018-10-16,99981.56873205007,76243.00364807901,,
2018-10-17,100980.3818616754,74775.57803255756,,
2018-10-18,98567.91308852282,79261.33701069184,61238.87246495553,50626.79752426276
2018-10-19,100003.90640587556,74886.78773724589,,51016.76274101299
2018-10-20,97258.32263972226,73591.20265536764,,50283.65112924029
2018-10-22,97508.4691299426,,61294.52474163986,
2018-10-23,,79858.31093402562,61605.73519952358,51738.89457114592
2018-10-24,96212.21223832524,73099.97327472323,,50047.47594536636
2018-10-25,,,,49314.61267763558
2018-10-27,,80376.04053125312,61443.52281909803,
2018-10-28,95961.09135739204,,62298.63823760378,50934.59473727885
2018-10-29,,73155.0043434128,,
2018-10-30,,,,48454.91655991995
2018-10-31,96260.7504919761,,62626.59590331434,53160.208845699046
2018-11-01,,80733.52049124354,61587.42045253541,
2018-11-03,,,,48195.13982263274
2018-11-05,,80807.48186227604,61718.40419579251,47735.08248496034
2018-11-09,,80793.14241279016,61737.77503106293,47817.188411731535
2018-11-11,,80062.58519687728,,
2018-11-14,,79716.06247703983,61672.28315943437,48130.64374610738
2018-11-16,,78437.58734919231,,
2018-11-17,,79216.72539006908,,
2018-11-18,,,61503.38792429089,48754.03244480988
2018-11-19,,77367.88677925928,,
2018-11-20,,78157.7863952863,,
2018-11-21,,76472.52372676002,,
2018-11-22,,75535.50704809104,61301.93123747855,49527.69186561018
2018-11-24,,76390.42828204254,,
2018-11-26,,74976.35730730211,69383.52535012476,56015.38866697553
2018-11-27,126250.67315082272,94161.00915238031,,
2018-11-29,,73946.78203900067,,
2018-11-30,,,77663.3315837879,51219.411479226575
2018-12-01,126620.84031707364,94636.48249523711,61260.54808940085,61567.31989716887
2018-12-03,,72866.781104281,,51335.63649084908
2018-12-04,,,,52207.324078017846
2018-12-05,,,61591.61327402252,
2018-12-06,126173.44862131172,94496.07425976262,76622.7441031123,56678.98662891349
2018-12-07,,72853.11250623304,,
2018-12-08,125009.3367053778,,,52816.42923152095
2018-12-09,,,62122.42447428977,
2018-12-10,,73185.9386758793,75602.35308448545,53117.75333572742
2018-12-11,123951.28885141163,93675.80296592816,76661.4931291361,60399.68937772633
2018-12-13,124090.30098227203,,,
2018-12-14,122670.79499560002,,74445.72273667928,
2018-12-15,,93195.7025334932,75628.18576850134,59941.28839986473
2018-12-16,122107.03465619488,92096.12440271003,,
2018-12-17,,,,59038.4360935101
2018-12-18,,,74528.74673678594,
2018-12-19,120831.50789367013,,73101.30000767949,
2018-12-21,,91169.51596270852,,
2018-12-22,118730.01904897916,,,58707.92969507177
2018-12-23,,,72605.33119391103,
2018-12-25,117625.13995792397,89980.82500771829,,58069.710442915006
2018-12-26,118339.94552033956,,,
2018-12-28,,,71474.29017874955,
2018-12-30,116728.76101826978,89392.87311951711,,57845.31835584987
2018-12-31,,88434.1517629136,,
2019-01-01,,,71035.13455047978,
2019-01-03,,,70058.65909467993,
2019-01-04,115733.42770313835,87565.89959696811,,57828.05742607564
2019-01-06,,90704.43345603085,,61461.04881291412
2019-01-08,115075.45404555768,86250.28152189717,69570.42136677999,
2019-01-09,,,,57719.56015320899
2019-01-10,,93738.42439165563,,61114.0047148688
2019-01-11,,85062.28197109677,76872.2727635975,
2019-01-12,114223.4313439284,,,
2019-01-13,,,69190.68091174672,
2019-01-14,,94464.8012204322,72567.92510964614,59413.276953838176
2019-01-15,,84732.91524989445,,
2019-01-16,113821.35321506964,83702.19115766126,,
2019-01-18,,94034.76867742898,,60788.6041028125
2019-01-19,,,72229.2833133642,57472.975442148425
2019-01-20,,83204.91199035579,74759.76406047284,
2019-01-21,113222.49081679583,91932.83819232794,75854.80931313673,60160.89812030798
2019-01-22,,93439.9079361247,,59894.31720782825
2019-01-24,,82789.00577770028,71008.66598539965,57472.975442148425
2019-01-25,112940.119709207,92345.84707335162,,
2019-01-26,,,,59778.09219620575
2019-01-27,,92724.65451863976,73534.6137107468,59083.97059901583
2019-01-28,,91489.05350619076,,
2019-01-29,,83224.80315704801,70617.69625094342,
2019-01-30,,,,57492.70221903327
2019-01-31,112378.02037631709,91484.9210613331,72903.1244809312,58964.51711484825
2019-02-01,,90435.9199035574,,58422.048203696046
2019-02-03,,84204.63686176989,70482.60796823411,
2019-02-04,,90396.92581364467,71748.05109146776,57729.42354165141
2019-02-05,112071.5155804688,89647.62668568446,,58309.13718819912
2019-02-06,,,,57827.63356862021
2019-02-07,,,71200.42806066156,
2019-02-08,,87765.85741116952,68986.01560156643,
2019-02-09,,,,57823.12573185444
2019-02-10,111938.60642120717,88132.47517053294,,57740.33902525873
2019-02-11,,,70781.37232431155,
2019-02-12,,86630.18992936521,,57609.99476383888
2019-02-13,,88333.93185734528,70101.59956964059,
2019-02-14,,87256.54444801924,70053.02891814389,57835.76319829629
2019-02-15,112047.1036940738,,,57536.1486188368
2019-02-16,,87859.6708808973,,
2019-02-17,,87149.66215601146,69768.92333417776,
2019-02-18,,,69558.2632308587,
2019-02-19,,85809.67329579884,,57585.38020793459
2019-02-20,112527.9438806419,86241.88164814026,69141.30827141624,
2019-02-22,,86766.66770506545,,
2019-02-23,,,69513.96658574001,57040.32101398843
2019-02-24,,,68317.40207791452,57534.31164222167
2019-02-25,113506.88518355235,84711.58566177732,,
2019-02-26,,84083.30348014401,,
2019-02-27,,90081.3376327982,68341.22402664655,
2019-02-28,113728.81142350688,,69060.95236686638,57166.25790724455
2019-03-01,114973.67487008216,,,57803.63379755155
2019-03-02,,83173.54134130623,67781.47563543299,
2019-03-03,114868.03278860672,,,
2019-03-04,116283.66387267636,91225.49069211926,,57166.25790724455
2019-03-05,,,69651.79432142997,
2019-03-06,,82526.10039792254,67696.94835425299,57411.1904656781
2019-03-07,116481.92972249816,82642.42825789188,,
2019-03-08,117860.2733666133,,,
2019-03-09,,92347.45112744486,69073.1421994745,57166.25790724455
2019-03-10,,,67656.44569868757,
2019-03-11,118506.08196941661,82888.96616133355,67607.76907371412,57803.39895496958
2019-03-13,,,69000.81068423008,57168.01889226913
2019-03-14,,93106.9320375114,,
2019-03-15,120375.86493471963,83602.16509628981,68102.09711130579,
